sample_id,B_longum,E_coli,B_bifidum,B_breve,k_pneumoniae,S_salivarius,S_lactarius,E_faecium,S_mitis,S_peroris,S_pneumoniae,S_lutetiensis,k_variicola,B_fragilis,S_equinus,C_sp,P_cumminsii,T_bernardiae,C_simulans,G_SGB61413
sample_1000,13.34091,0.01915,31.83826,38.95223,0.0006,1.90594,0.30067,0,0.00074,0,0.00071,0,0,0,0,0,0,0,0,0
sample_1001,39.28654,3.28603,25.60345,0.00099,0,0.15218,0,0.00347,0.00017,0,0,0,0.00753,0,0,0,0,0,0,0
sample_1002,60.54032,1.55705,6.754,0.00112,0.00646,1.03904,0,0,0.00451,0.00313,0,0,0,1.00E-05,0,0,0,0,0,0
sample_1003,0.00439,0.65869,0.00076,72.22698,0.00616,0.29844,0,0,0.00281,0,0,0,0.01768,11.33806,0,0,0,0,0,0
sample_1004,2.37221,1.24726,0.00056,0.00091,0.19735,0.21838,0,0.24883,0.00474,0,0,8.33727,0.01601,17.17247,0.00896,0,0,0,0,0
sample_1005,10.96032,0.82044,31.72459,0.00657,0,4.46825,0,0,0.03019,0.28498,0.00209,13.31481,0,4.00E-05,0,0,0,0,0,0
sample_1006,8.64557,0.08548,14.45943,60.34936,0.09003,0.69036,0,0,0.00212,0,0,0,0,0,0,0,0,0,0,0
sample_1007,66.84197,4.00E-05,0.00152,1.26552,0,0.0567,3.47789,0,0.01692,0,0.00029,0,0,0,0,0,0,0,0,0
sample_1008,0.00321,2.44138,0.00041,38.51437,0.00262,0.15077,0.02597,0.01586,0.00053,0,0,2.70833,0.006,4.07763,0,0,0,0,0,0
sample_1009,66.39684,0.81281,2.45011,0.20682,0,0.84368,0.07303,0.01555,0.00055,0.00306,0,0,0,0,0,0,0,0,0,0
sample_1010,0.00518,5.94229,0.00074,0.00092,1.93091,0.30847,0,4.49709,0.00226,0,0.00183,22.57622,0,13.43816,0,0,0,0,0,0
sample_1011,70.25386,1.86836,0.00169,0.00111,2.06577,0.27781,0.15696,0,0.0064,0.05139,0,0,0,0,0,0,0,0,0,0
sample_1012,0.0105,0.0866,0.00142,0.00219,0,0.01937,0,0,0.00219,0,0,0,0,0,0,0,0,0,0,0
sample_1013,0.00604,1.71806,0.00097,0.00167,0,0.02788,0,0,0,0,0,0,0.07909,0,0,0,0,0,0,0
sample_1014,0.00392,0.32039,1.15528,59.35765,0.0126,0.00875,0,0,0,0,0,0,0,2.37883,0.00396,0,0,0,0,0
sample_1015,56.19373,0.50462,3.88074,6.12929,0.02378,0.29423,0.06106,0.01803,0.0009,0,0,0,0,0,0,0,0,0,0,0
sample_1016,0.00383,0.56798,77.4284,0.00092,0,0.0111,0,0.00127,0,0,0,0,0,0.96412,0,0,0,0,0,0
sample_1017,61.66752,0.24312,4.83568,0.00071,0,0.33064,0,0.15982,0.00839,0,0.00599,0.42623,0,0,0.1021,0,0,0,0,0
sample_1019,44.53745,1.1103,29.64401,0.0009,0,0.26467,0,0,0.00521,0,0,1.94298,0,0,0,0,0,0,0,0
sample_1023,54.21856,0.55734,26.39594,0.00081,0,0.00852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
